,Time,Elevation,Act.ele,Longtitude,Latitude,Distance_between_origin,Distance_origin,Direction_origin,X,Y,pH,TP,SWC,TOC,TN,C.N,DOC,DON,DOC.DON,NDVI,GT,GP,MOI,Tmin,Tmax,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Year.ET,Spr.ET,Sum.ET,Aut.ET,Win.ET,June.ET,July.ET,Aug.ET,Year.PREC,Spr.PREC,Sum.PREC,Aut.PREC,Win.PREC,June.PREC,July.PREC,Aug.PREC,Year.DTR,Spr.DTR,Sum.DTR,Aut.DTR,Win.DTR,June.DTR,July.DTR,Aug.DTR,Year.ARI,Spr.ARI,Sum.ARI,Aut.ARI,Win.ARI,June.ARI,July.ARI,Aug.ARI
HDX058,2013,4600,4602,91.06594146,30.52681,4600m_100m_E,100,E,100,0,6.41,0.451,0.166,23.529,2.268,10.375,75.102,13.533,5.549545555,0.208490536,8.536559619,373.8956738,0.232615487,-2.828886197,7.511427107,2.34127044,10.34031333,36.97104569,623.2044555,15.20302712,-12.71604284,27.91906996,9.537094347,-4.223495019,9.783448451,-5.292401256,410.3279777,147.0946686,0.313411993,137.0659806,301.8893581,3.459536953,284.7626433,6.302330017,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX059,2013,4600,4590,91.0753603,30.52607,4600m_1km_E,1000,E,1000,0,6.27,0.575,0.086,30.289,2.822,10.733,67.713,13.721,4.934990161,0.256088108,8.536559619,373.8956738,0.232615487,-2.828886197,7.511427107,2.34127044,10.34031333,36.97104569,623.2044555,15.20302712,-12.71604284,27.91906996,9.537094347,-4.223495019,9.783448451,-5.292401256,410.3279777,147.0946686,0.313411993,137.0659806,301.8893581,3.459536953,284.7626433,6.302330017,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX060,2013,4600,4613,91.13604462,30.58385,4600m_10km_E,10000,E,10000,0,6.4,0.616,0.202,58.226,4.594,12.673,145.987,18.725,7.796368491,0.255965143,8.536559619,373.8956738,0.232615487,-2.828886197,7.511427107,2.34127044,10.34031333,36.97104569,623.2044555,15.20302712,-12.71604284,27.91906996,9.537094347,-4.223495019,9.783448451,-5.292401256,410.3279777,147.0946686,0.313411993,137.0659806,301.8893581,3.459536953,284.7626433,6.302330017,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX061,2013,4700,4696,91.00569772,30.49727,4700m_10km_W,10000,W,-10000,0,6.185,0.535,0.273,42.733,3.515,12.158,155.449,20.434,7.607370069,0.326352537,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX062,2013,4700,4694,91.04876421,30.52564,4700m_1km_W,1000,W,-1000,0,6.025,0.674,0.331,47.37,3.963,11.953,179.47,18.08,9.926438053,0.309794068,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX063,2013,4700,4692,91.06030673,30.52969,4700m_100m_W,100,W,-100,0,6.04,0.518,0.214,34.308,2.726,12.586,128.777,11.355,11.34099516,0.23864755,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX064,2013,4700,4692,91.06057961,30.52976,4700m_10m_W,10,W,-10,0,5.78,0.512,0.271,66.437,4.256,15.609,412.542,39.031,10.56959852,0.23864755,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX065,2013,4700,4692,91.06064766,30.52978,4700m_1m_W,1,W,-1,0,5.88,0.688,0.198,40.436,3.634,11.128,137.314,22.131,6.204599883,0.208834648,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX066,2013,4700,4707,91.06036069,30.53028,4700m_10m_U,10,U,0,10,5.565,0.646,0.241,58.306,5.03,11.593,187.579,25.221,7.437413267,0.217474148,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX067,2013,4700,4694,91.06061876,30.52984,4700m_1m_U,1,U,0,1,5.675,0.75,0.237,48.248,4.293,11.239,130.162,22.89,5.686413281,0.220862761,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX068,2013,4700,4692,91.06066308,30.52978,4700m,0,O,0,0,5.595,0.725,0.231,51.987,4.667,11.14,161.994,21.4,7.569813084,0.208834648,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX069,2013,4700,4691,91.06069694,30.52974,4700m_1m_B,1,B,0,-1,5.66,0.643,0.215,48.241,4.267,11.304,128.09,26.651,4.806198642,0.208834648,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX070,2013,4700,4683,91.06089787,30.52949,4700m_10m_B,10,B,0,-10,5.82,0.558,0.33,60.61,4.09,14.818,199.009,15.203,13.09011379,0.229505911,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX071,2013,4700,4692,91.06067109,30.52978,4700m_1m_E,1,E,1,0,5.59,0.687,0.184,42.856,3.828,11.195,177.418,23.506,7.547775036,0.208834648,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX072,2013,4700,4692,91.06072745,30.52979,4700m_10m_E,10,E,10,0,5.81,0.717,0.388,57.063,4.333,13.17,247.946,26.501,9.35609977,0.208834648,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX073,2013,4700,4692,91.06098955,30.52988,4700m_100m_E,100,E,100,0,6.025,0.501,0.152,23.924,1.978,12.095,110.501,11.706,9.439689048,0.243913516,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,967.9713457,131.9938061,286.6681405,342.5610377,206.7483614,146.4236648,102.3580959,93.77927705,385.6774313,5.188545241,36.04133486,269.1350283,75.31252291,55.22976003,127.0021753,86.90309293,11.55908238,12.93349683,11.70042677,10.2711835,11.3312224,11.55076867,9.56853766,9.694244165,2.509795148,25.43946327,7.953871343,1.272822196,2.745205624,2.651173293,0.805955455,1.079124734
HDX074,2013,4700,4718,91.06949495,30.53607,4700m_1km_E,1000,E,1000,0,5.515,0.764,0.445,64.617,5.188,12.456,253.705,29.302,8.658282711,0.337371826,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX075,2013,4700,4722,91.13408591,30.58824,4700m_10km_E,10000,E,10000,0,5.76,0.647,0.238,57.202,4.914,11.642,145.439,23.482,6.19363768,0.229672104,7.8684146,396.0684152,0.317292155,-2.866726948,6.589308597,1.861290798,9.456035559,35.6679183,604.2997397,14.22428131,-12.32328384,26.54756514,8.842312035,-4.345434011,9.097003727,-5.507377428,435.6035556,156.6205658,0.382072116,136.9659283,320.0707468,4.125956559,301.8544006,7.763139311,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX076,2013,4800,4799,91.00347943,30.49991,4800m_10km_W,10000,W,-10000,0,6.03,0.588,0.29,31.213,2.838,11,248.008,31.92,7.769674185,0.324545324,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX077,2013,4800,4805,91.04891961,30.52945,4800m_1km_W,1000,W,-1000,0,5.925,0.586,0.209,29.797,2.624,11.357,72.982,15.994,4.563086157,0.304034591,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX078,2013,4800,4792,91.05673892,30.53146,4803m_63m_W,100,W,-100,0,5.73,0.591,0.323,49.479,4.262,11.609,170.024,29.374,5.788248111,0.26265505,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX079,2013,4800,4792,91.05746411,30.53169,4803m_10m_W,10,W,-10,0,5.525,0.605,0.281,43.05,3.618,11.897,90.246,18.563,4.861606421,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX080,2013,4800,4793,91.05765441,30.53173,4803m_1m_W,1,W,-1,0,5.855,0.598,0.142,27.544,2.436,11.308,65.879,12.619,5.2206197,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX081,2013,4800,4809,91.05745957,30.53216,4813m_10_U,10,U,0,10,5.75,0.527,0.26,38.885,3.171,12.265,96.301,14.044,6.857091997,0.292043298,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX082,2013,4800,4793,91.05766527,30.53175,4804m_1m_U,1,U,0,1,5.81,0.577,0.258,41.322,3.459,11.946,71.172,17.089,4.164784364,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX083,2013,4800,4792,91.05766852,30.53174,4803m,0,O,0,0,5.85,0.522,0.197,34.027,3.076,11.061,73.065,11.661,6.265757654,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX084,2013,4800,4791,91.05767449,30.53172,4802m_1m_D,1,B,0,-1,5.84,0.566,0.223,32.962,2.895,11.387,75.888,12.063,6.290972395,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX085,2013,4800,4783,91.05777053,30.53155,4793m_1m_D,10,B,0,-10,6.005,0.605,0.198,24.82,2.231,11.125,76.205,13.949,5.463115636,0.245414242,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX086,2013,4800,4792,91.05768253,30.53174,4803m_1m_E,1,E,1,0,5.935,0.625,0.205,30.75,2.804,10.967,67.39,12.794,5.267312803,0.279851586,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX087,2013,4800,4792,91.05778184,30.53176,4803m_10m_E,10,E,10,0,6.015,0.589,0.262,38.179,3.259,11.714,88.875,16.895,5.26043208,0.253489614,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
HDX088,2013,4800,4792,91.05806603,30.53194,4803m_74m_E,100,E,100,0,6.265,0.617,0.092,22.678,1.882,12.05,58.545,9.206,6.359439496,0.255592018,7.251921452,399.1624256,0.401220655,-3.136669143,5.829555857,1.346443444,8.966225059,34.97860878,595.4414581,13.34099884,-12.31519062,25.65618946,8.284110656,-4.808187878,8.460077782,-5.950206552,436.3738537,160.3867133,0.314285714,140.1478515,325.5717122,3.262857127,307.198855,5.634285671,774.922554,104.2963195,229.278161,278.8641152,162.4839583,120.0001327,83.92456262,74.93941993,410.332207,5.567378518,38.03511193,289.5633625,77.1663541,58.05844983,133.8946327,97.6102799,10.34031333,11.44633618,10.50086096,9.350284326,10.06377183,10.54634616,8.775515787,8.728991032,1.958299084,23.76925922,6.416966115,0.993518166,2.162031494,2.124488869,0.643832904,0.800311712
