,Act.ele,Elevation,pre.AI,bio12,bio1,Aridity.index,GTmin,pre.bio12,pre.bio1,pre.GT
DH12,4386,4400,0.942756947,366.9859954,3.369355651,0.929135914,4.662769123,352.0004765,3.098003298,4.344729085
DH13,4393,4400,0.938687834,366.9859954,3.369355651,0.929135914,4.662769123,354.1134686,3.082779489,4.335007056
DH14,4407,4400,0.930337996,366.9859954,3.369355651,0.929135914,4.662769123,358.3025706,3.05079115,4.314225004
DH15,4500,4500,0.867708856,385.6737103,2.786205506,0.859763617,4.034956136,384.8818354,2.78614846,4.130885733
DH16,4500,4500,0.867708856,385.6737103,2.786205506,0.859763617,4.034956136,384.8818354,2.78614846,4.130885733
DH17,4501,4500,0.866967767,385.6737103,2.786205506,0.859763617,4.034956136,385.1558417,2.782810227,4.128486548
DH18,4503,4500,0.865481269,385.6737103,2.786205506,0.859763617,4.034956136,385.7031017,2.77610232,4.123660873
DH19,4505,4500,0.863989014,385.6737103,2.786205506,0.859763617,4.034956136,386.2493582,2.769352488,4.118798789
DH20,4506,4500,0.863240727,385.6737103,2.786205506,0.859763617,4.034956136,386.52211,2.76596185,4.116354095
DH21,4507,4500,0.862491,385.6737103,2.786205506,0.859763617,4.034956136,386.794611,2.762560732,4.113900298
DH22,4505,4500,0.863989014,385.6737103,2.786205506,0.859763617,4.034956136,386.2493582,2.769352488,4.118798789
DH23,4504,4500,0.864735861,385.6737103,2.786205506,0.859763617,4.034956136,385.9763554,2.772732644,4.121234382
DH24,4508,4500,0.861739834,385.6737103,2.786205506,0.859763617,4.034956136,387.0668611,2.759149132,4.111437399
DH25,4509,4500,0.860987229,385.6737103,2.786205506,0.859763617,4.034956136,387.3388602,2.755727051,4.108965399
DH26,4502,4500,0.866225238,385.6737103,2.786205506,0.859763617,4.034956136,385.4295972,2.779461514,4.126078261
DH27,4491,4500,0.874313881,385.6737103,2.786205506,0.859763617,4.034956136,382.4044878,2.815720899,4.152068804
DH28,4509,4500,0.860987229,385.6737103,2.786205506,0.859763617,4.034956136,387.3388602,2.755727051,4.108965399
DH29,4604,4600,0.782925459,410.3279777,2.34127044,0.775447519,3.810697758,412.0346877,2.382835536,3.832620152
